tool|sf|day|batch_type|q|parameters|time
DuckDB-PR|10|2012-11-29|power|16a|{"tagA": "Bobby_Hull", "dateA": "2012-06-21", "tagB": "Franz_Joseph_I_of_Austria", "dateB": "2012-11-10", "maxKnowsLimit": "3"}|3.3819738626480103
DuckDB-PR|10|2012-11-29|power|16a|{"tagA": "Bobby_Hull", "dateA": "2012-06-22", "tagB": "Franz_Joseph_I_of_Austria", "dateB": "2012-11-10", "maxKnowsLimit": "4"}|3.385645270347595
DuckDB-PR|10|2012-11-29|power|16a|{"tagA": "Robert_Fripp", "dateA": "2011-02-15", "tagB": "Mary_J._Blige", "dateB": "2012-12-31", "maxKnowsLimit": "3"}|3.368677568435669
DuckDB-PR|10|2012-11-29|power|16a|{"tagA": "Robert_Fripp", "dateA": "2011-02-16", "tagB": "Mary_J._Blige", "dateB": "2012-12-31", "maxKnowsLimit": "4"}|3.3284046173095705
DuckDB-PR|10|2012-11-29|power|16b|{"tagA": "Jeff_Kennett", "dateA": "2012-12-31", "tagB": "Ralph_Bakshi", "dateB": "2011-02-12", "maxKnowsLimit": "4"}|3.318651580810547
DuckDB-PR|10|2012-11-29|power|16b|{"tagA": "Alex_Shelley", "dateA": "2011-12-01", "tagB": "Republic_of_New_Granada", "dateB": "2010-04-29", "maxKnowsLimit": "5"}|3.3241936683654787
DuckDB-PR|10|2012-11-29|power|16b|{"tagA": "Big_Poppa", "dateA": "2012-12-06", "tagB": "East_Germany", "dateB": "2010-05-24", "maxKnowsLimit": "4"}|3.2930397033691405
DuckDB-PR|10|2012-11-29|power|16b|{"tagA": "Gin_and_Juice", "dateA": "2012-12-06", "tagB": "Slovenia", "dateB": "2010-01-30", "maxKnowsLimit": "6"}|3.2811163902282714
DuckDB-PR|10|2012-11-29|power|16b|{"tagA": "J.E._Heartbreak", "dateA": "2012-12-25", "tagB": "Right_on_the_Money", "dateB": "2011-05-10", "maxKnowsLimit": "5"}|3.322431778907776
DuckDB-PR|10|2012-11-29|power|17|{"tag": "The_Best_of_David_Bowie_1969/1974", "delta": "15"}|2.5495620250701903
DuckDB-PR|10|2012-11-29|power|17|{"tag": "Gold_Cobra", "delta": "8"}|1.7647114753723145
DuckDB-PR|10|2012-11-29|power|17|{"tag": "Apagorevmeno", "delta": "9"}|2.429825282096863
DuckDB-PR|10|2012-11-29|power|17|{"tag": "Cosmic_Egg", "delta": "12"}|2.461338758468628
DuckDB-PR|10|2012-11-29|power|17|{"tag": "Untitled_Korn_album", "delta": "16"}|1.8613554000854493
DuckDB-PR|10|2012-11-29|power|18|{"tag": "Franz_Kafka"}|0.24816019535064698
DuckDB-PR|10|2012-11-29|power|18|{"tag": "Roger_Federer"}|0.26078104972839355
DuckDB-PR|10|2012-11-29|power|18|{"tag": "Charles,_Prince_of_Wales"}|0.25401489734649657
DuckDB-PR|10|2012-11-29|power|18|{"tag": "Andrew_Jackson"}|0.24449410438537597
DuckDB-PR|10|2012-11-29|power|18|{"tag": "Pyotr_Ilyich_Tchaikovsky"}|0.26009068489074705
DuckDB-PR|10|2012-11-29|power|19a|{"city1Id": "702", "city2Id": "967"}|0.30595428943634034
DuckDB-PR|10|2012-11-29|power|19a|{"city1Id": "116", "city2Id": "662"}|0.29242715835571287
DuckDB-PR|10|2012-11-29|power|19a|{"city1Id": "807", "city2Id": "1447"}|0.29958040714263917
DuckDB-PR|10|2012-11-29|power|19a|{"city1Id": "317", "city2Id": "1382"}|0.302993631362915
DuckDB-PR|10|2012-11-29|power|19a|{"city1Id": "455", "city2Id": "1268"}|0.5134541273117066
DuckDB-PR|10|2012-11-29|power|19b|{"city1Id": "129", "city2Id": "265"}|0.2906331062316895
DuckDB-PR|10|2012-11-29|power|19b|{"city1Id": "372", "city2Id": "482"}|0.2986219167709351
DuckDB-PR|10|2012-11-29|power|19b|{"city1Id": "921", "city2Id": "934"}|0.3059049129486084
DuckDB-PR|10|2012-11-29|power|19b|{"city1Id": "282", "city2Id": "295"}|0.3024270057678223
DuckDB-PR|10|2012-11-29|power|19b|{"city1Id": "179", "city2Id": "252"}|0.3044331789016724
DuckDB-PR|10|2012-11-29|power|20a|{"company": "Air_Arabia_Maroc", "person2Id": "15393162811012"}|0.17547621726989746
DuckDB-PR|10|2012-11-29|power|20a|{"company": "Atlas_Blue", "person2Id": "13194139598590"}|0.14652664661407472
DuckDB-PR|10|2012-11-29|power|20a|{"company": "Tassili_Airlines", "person2Id": "6597069790129"}|0.10796520709991456
DuckDB-PR|10|2012-11-29|power|20a|{"company": "Tunisavia", "person2Id": "32985348886712"}|0.10941810607910156
DuckDB-PR|10|2012-11-29|power|20a|{"company": "Air_Arabia_Maroc", "person2Id": "30786325589718"}|0.14858005046844483
DuckDB-PR|10|2012-11-29|power|20b|{"company": "Alrosa_Mirny_Air_Enterprise", "person2Id": "2199023279951"}|0.27534492015838624
DuckDB-PR|10|2012-11-29|power|20b|{"company": "Interavia_Airlines", "person2Id": "24189255875550"}|0.2017207384109497
DuckDB-PR|10|2012-11-29|power|20b|{"company": "Medavia", "person2Id": "28587302374939"}|0.2806572437286377
DuckDB-PR|10|2012-11-29|power|20b|{"company": "Hageland_Aviation_Services", "person2Id": "24189255856536"}|0.2146296501159668
DuckDB-PR|10|2012-11-29|power|20b|{"company": "Arctic_Circle_Air", "person2Id": "24189255856536"}|0.2781466245651245
